timestamp,host,ip,port,status,latency_ms
2026-06-11T20:17:34.654405176+02:00,127.0.0.1,127.0.0.1,8080,ok,1.025
2026-06-11T20:17:35.654670951+02:00,127.0.0.1,127.0.0.1,8080,ok,0.405
2026-06-11T20:17:36.65578831+02:00,127.0.0.1,127.0.0.1,8080,ok,0.396
2026-06-11T20:17:37.656337788+02:00,127.0.0.1,127.0.0.1,8080,ok,0.417
2026-06-11T20:17:38.656373083+02:00,127.0.0.1,127.0.0.1,8080,ok,0.397
2026-06-11T20:17:39.656597096+02:00,127.0.0.1,127.0.0.1,8080,ok,0.457
2026-06-11T20:17:40.657426246+02:00,127.0.0.1,127.0.0.1,8080,ok,0.427
2026-06-11T20:17:41.657971042+02:00,127.0.0.1,127.0.0.1,8080,ok,0.448
2026-06-11T20:17:42.658435322+02:00,127.0.0.1,127.0.0.1,8080,ok,0.436
2026-06-11T20:17:43.65857443+02:00,127.0.0.1,127.0.0.1,8080,ok,0.221
2026-06-11T20:17:44.658632747+02:00,127.0.0.1,127.0.0.1,8080,ok,0.410
2026-06-11T20:17:45.659751832+02:00,127.0.0.1,127.0.0.1,8080,ok,0.350
2026-06-11T20:17:46.660133801+02:00,127.0.0.1,127.0.0.1,8080,ok,0.343
2026-06-11T20:17:47.660475377+02:00,127.0.0.1,127.0.0.1,8080,ok,0.112
2026-06-11T20:17:48.660767578+02:00,127.0.0.1,127.0.0.1,8080,ok,0.359
2026-06-11T20:17:49.661190822+02:00,127.0.0.1,127.0.0.1,8080,ok,0.404
2026-06-11T20:17:50.661639861+02:00,127.0.0.1,127.0.0.1,8080,ok,0.354
2026-06-11T20:17:51.662374511+02:00,127.0.0.1,127.0.0.1,8080,ok,0.661
2026-06-11T20:17:52.662606822+02:00,127.0.0.1,127.0.0.1,8080,ok,0.411
2026-06-11T20:17:53.663707534+02:00,127.0.0.1,127.0.0.1,8080,ok,0.449
2026-06-11T20:17:54.665571621+02:00,127.0.0.1,127.0.0.1,8080,ok,0.354
2026-06-11T20:17:55.66607759+02:00,127.0.0.1,127.0.0.1,8080,ok,0.379
2026-06-11T20:17:56.666668974+02:00,127.0.0.1,127.0.0.1,8080,ok,0.376
2026-06-11T20:17:57.667807525+02:00,127.0.0.1,127.0.0.1,8080,ok,0.383
2026-06-11T20:17:58.668534587+02:00,127.0.0.1,127.0.0.1,8080,ok,0.419
2026-06-11T20:17:59.669329243+02:00,127.0.0.1,127.0.0.1,8080,ok,0.429
2026-06-11T20:18:00.669533876+02:00,127.0.0.1,127.0.0.1,8080,ok,0.624
2026-06-11T20:18:01.669682805+02:00,127.0.0.1,127.0.0.1,8080,ok,0.404
2026-06-11T20:18:02.670343163+02:00,127.0.0.1,127.0.0.1,8080,ok,0.664
